sys userno topicid isum db dbcompact dbdistance crx cry cnx cny
vsn 07 40048 1 1.61024536704 105.073908393 65.2533524043 448 122 385 139
vse 31 40021 1 0.916086448774 84.4440915677 92.1791733528 415 115 326 139
vse 08 40021 0 1.04224230426 82.4162616657 79.0759128939 433 233 510 251
vsn 11 40048 1 0.589048325124 99.8832138152 169.567095865 546 124 378 147
vse 04 40021 1 4.60645876733 103.926446821 22.5610283454 405 145 400 167
vsn 11 40048 1 0.477186543454 94.1461357045 197.294196569 567 104 372 134
vse 05 40048 1 0.378456513228 90.3592169827 238.757198844 643 127 405 108
vse 03 40021 1 2.270778381 141.628139974 62.3698645181 369 177 410 130
vse 24 40009 1 0.946180430096 82.8596949601 87.5728268357 284 169 197 159
vse 04 40021 0 0.946172195165 88.8646618169 93.9201788755 514 194 425 164
vsn 37 40021 1 0.47136630762 62.9463774378 133.540256103 596 87 463 99
vsn 27 40021 1 1.36780010577 107.856914429 78.8542960149 440 209 423 132
vsn 31 40009 1 0.953958989144 96.3923516562 101.044544633 426 149 325 146
vse 28 40048 1 0.374364340545 88.3222199384 235.925835804 666 117 460 232
vse 03 40021 1 2.35561331374 138.260656077 58.6941223633 380 175 422 134
vse 05 40048 1 0.26202703644 90.5818028313 345.696398593 688 109 379 264
vse 20 40009 1 1.06123099647 79.0243080232 74.4647567645 456 145 384 164
vsn 31 40009 1 0.649570188563 70.8508093896 109.073369802 555 96 446 100
vsn 04 40009 1 0.781610652541 82.0653964769 104.995237987 545 67 445 99
vsn 04 40009 1 0.770906978741 79.496920431 103.121287812 539 64 442 99
vse 31 40021 1 6.30442349982 112.776956036 17.88854382 318 195 326 211
vse 34 40009 1 0.508419996704 96.0698565436 188.957667217 470 125 282 144
vse 04 40021 1 3.21794083842 116.603186378 36.235341864 291 205 308 173
vsn 03 40009 1 1.57447486167 96.0429665618 61.0 513 170 453 181
vse 30 40021 1 0.702641205644 104.884352123 149.271564606 320 137 469 128
vse 14 40048 1 0.470568885587 107.083117156 227.560980838 552 107 330 157
vsn 37 40021 1 1.31241165695 59.9845353602 45.7055795281 521 97 566 89
vse 08 40021 1 0.970738284488 105.525100797 108.706025592 215 200 299 269
vsn 27 40021 1 1.99918030704 104.360275861 52.2015325446 399 197 384 147
vse 22 40021 1 1.91339233917 109.331579817 57.1401785086 233 151 264 199
vse 23 40048 1 0.377851055047 88.0595644721 233.053641894 659 188 426 183
vsn 09 40021 1 3.13986610777 94.6657915501 30.1496268634 453 213 423 216
vsn 18 40021 1 1.94080047807 117.894643513 60.7453701939 462 157 429 208
vse 23 40048 1 0.410372847177 111.671191216 272.121296484 592 172 331 95
vsn 32 40021 1 0.687486966019 69.7756936284 101.493842178 334 125 435 135
vse 22 40021 1 1.72396836501 119.564383921 69.3541635376 231 179 278 230
vsn 09 40021 1 0.985651992836 105.667226316 107.205410311 543 197 441 164
vsn 26 40009 1 0.22922131448 69.8655135456 304.795013083 699 111 395 89
vsn 09 40021 1 0.57623493807 96.9462838511 168.240898714 561 158 393 149
vsn 08 40009 1 0.887391095163 107.670932173 121.334249081 495 112 374 121
vsn 09 40021 1 6.64652895105 92.3365311767 13.8924439894 464 175 457 187
vse 30 40021 0 3.20624930664 16.0312465332 5.0 456 276 456 271
vse 11 40009 1 3.17762695548 149.382267625 47.0106370942 402 126 373 163
vsn 18 40021 0 1.04224230426 82.4162616657 79.0759128939 433 233 510 251
vse 04 40021 1 2.38614628961 108.037368242 45.2769256907 340 165 379 188
vsn 30 40009 1 0.642467523425 69.4162300243 108.046286378 533 81 426 96
vse 22 40021 0 0.805631771967 83.0777858275 103.121287812 383 215 486 220
vsn 30 40009 1 0.886782694324 71.3901377489 80.5046582503 488 101 408 110
vsn 36 40021 0 1.56049692892 59.380957917 38.0525951809 370 160 372 198
vsn 16 40048 1 0.749411682895 96.5694814058 128.860389569 560 104 443 158
vse 32 40048 1 0.703122140848 87.4051809203 124.310096131 570 158 447 176
vse 37 40048 1 0.423306764061 93.3820861942 220.601450585 569 122 357 183
vsn 18 40021 0 1.0153421429 91.5217039594 90.1387818866 429 183 487 252
vse 04 40021 1 2.67978912094 104.27100448 38.9101529167 270 193 305 210
vse 28 40048 0 0.143713125709 36.3594208043 253.0 457 114 457 367
vsn 32 40021 1 2.34294264442 114.012509825 48.6621002424 285 140 293 188
vse 03 40021 1 2.41447761363 122.187835719 50.6063237155 397 183 428 143
vsn 12 40009 0 0.821128405412 60.0098256498 73.0821455624 515 314 494 244
vse 24 40009 0 2.03405183383 57.8543843796 28.4429253067 142 203 114 208
vsn 09 40021 1 0.372277730737 94.942499921 255.031370619 646 103 391 107
vsn 36 40021 1 0.691964591611 93.9646131639 135.793961574 610 148 476 126
vse 12 40021 1 1.05165263739 118.164768566 112.361025271 476 138 364 147
vse 27 40048 1 0.510855502952 116.324837988 227.705950735 638 124 421 193
vse 14 40048 1 0.35308141494 87.1739351025 246.894714403 452 215 206 236
vsn 14 40021 1 2.67414565286 120.187898912 44.9444101085 427 251 385 235
vse 22 40021 0 1.0153421429 91.5217039594 90.1387818866 429 183 487 252
vsn 09 40021 1 0.40164240435 91.5885598236 228.03508502 656 85 428 89
vse 24 40009 1 0.965550077545 82.8855991781 85.842879728 282 159 197 147
vse 04 40021 1 3.55836494845 103.437696875 29.0688837075 400 137 398 166
vsn 27 40021 1 2.71054546244 102.177138227 37.6961536499 394 186 380 151
vsn 36 40021 1 1.05251980823 84.7327474632 80.5046582503 619 110 539 101
vsn 31 40009 1 0.793687454699 72.5779333186 91.4439719172 527 90 436 99
vsn 36 40021 1 0.955811924837 77.4738483766 81.0555365166 604 133 523 130
vsn 04 40009 1 0.781610652541 82.0653964769 104.995237987 545 67 445 99
vsn 08 40009 1 0.920334590296 113.574658177 123.405834546 506 100 383 110
vsn 04 40009 1 0.736923541835 77.4366046292 105.080921199 553 68 452 97
vse 24 40009 0 0.429761322143 68.6004617432 159.624559514 359 143 485 241
vsn 33 40048 1 1.22938639657 77.8794692465 63.3482438588 566 128 504 115
vsn 07 40048 1 1.8116980072 106.33602452 58.6941223633 448 122 390 131
vse 32 40048 0 3.30893165667 75.4552511653 22.803508502 166 192 180 174
vse 14 40048 1 0.529958931099 98.7161430202 186.271307506 523 147 339 176
vse 24 40009 0 0.853825507376 82.8342766504 97.0154626851 348 222 444 208
vse 04 40021 1 3.35748593806 104.136202999 31.0161248385 397 138 398 169
vse 14 40048 1 0.425624970983 101.727929718 239.008368054 552 156 322 221
vse 05 40048 1 1.00068878443 133.856853871 133.764718816 368 193 241 235
vse 03 40021 1 2.08892516841 127.885902782 61.2209114601 387 178 435 140
vse 07 40009 1 3.58668620791 119.711529105 33.3766385366 312 109 317 142
vse 03 40021 1 2.270778381 141.628139974 62.3698645181 369 177 410 130
vse 05 40048 1 0.41933257928 103.087607794 245.8373446 632 147 388 177
