sys userno topicid isum db dbcompact dbdistance crx cry cnx cny
vse 31 40021 1 2.53542857871 107.956869698 42.5793377121 265 142 258 184
vsn 16 40048 0 2.40678234638 108.545616994 45.0998891351 399 229 444 232
vsn 11 40048 1 0.616631186009 109.220336456 177.124250175 475 158 302 196
vse 14 40048 1 0.433844604009 97.7614691353 225.337524616 448 208 227 252
vsn 05 40021 0 0.840455100174 88.8222279417 105.683489723 435 242 495 155
vsn 31 40009 1 1.33040063614 110.671422239 83.1865373723 363 162 281 148
vsn 16 40048 1 0.608586191491 109.172967197 179.387847972 532 120 366 188
vsn 20 40048 1 0.623412605057 108.26578965 173.666346769 517 111 345 135
vse 14 40048 1 0.550911133565 105.258633038 191.062816895 433 225 244 253
vse 30 40021 1 1.4239565282 94.3901676091 66.2872536767 383 151 448 138
vsn 24 40048 1 1.04550766183 103.984659408 99.4585340733 500 164 404 138
vsn 16 40048 1 0.544796355155 107.913693289 198.080791598 576 100 386 156
vsn 34 40048 0 1.00902848502 54.4968802465 54.0092584656 456 149 457 95
vse 19 40048 1 0.464813972151 105.556786729 227.094693905 519 111 305 187
vsn 16 40048 1 0.489557858503 105.568699761 215.64090521 550 99 340 148
vsn 30 40009 0 1.49462298864 49.3451992317 33.0151480384 470 93 469 126
vse 15 40009 1 1.25449076252 123.482935634 98.4327181378 415 157 323 192
vse 04 40021 1 6.27268437845 119.181003191 19.0 372 159 372 178
vse 27 40048 1 0.650128287189 104.322802736 160.464949444 597 164 447 221
vsn 32 40021 1 3.07388399691 127.260282431 41.400483089 244 143 269 176
vsn 11 40048 0 1.05901035721 95.686728312 90.3548559846 414 251 494 209
vse 11 40009 1 1.48886121303 115.949697159 77.8781098898 451 117 380 149
vse 15 40009 1 1.25449076252 123.482935634 98.4327181378 415 157 323 192
vse 20 40009 1 1.33935599072 76.8584974436 57.3846669416 448 139 395 161
vse 20 40009 1 1.2849819854 81.6747326857 63.5609943283 439 139 377 153
vse 31 40021 0 0.501952655722 57.7441936932 115.03912378 373 142 478 189
vse 16 40009 1 1.05035244221 117.681667621 112.040171367 429 219 317 222
vse 11 40009 1 1.6561396557 121.791028438 73.5391052434 432 103 364 131
vsn 31 40009 1 0.797473776655 75.1700998487 94.2602779542 526 90 432 97
vse 20 40009 1 1.2849819854 81.6747326857 63.5609943283 439 139 377 153
vsn 28 40021 1 1.3760682267 82.7473659556 60.1331855135 502 127 442 131
vsn 21 40009 1 1.43757334616 71.8786673079 50.0 512 154 464 168
vsn 33 40048 1 8.83302372238 86.9951946016 9.8488578018 433 200 429 209
vsn 05 40021 1 1.82426032837 120.041319881 65.8027355054 441 161 402 108
vsn 15 40048 0 1.54502744336 96.8450019726 62.6817357769 389 207 441 242
vse 17 40021 1 3.09960745667 99.959336937 32.2490309932 397 141 413 169
vsn 31 40009 1 0.24462816248 76.8229807836 314.039806394 698 131 384 136
vse 17 40021 0 1.04224230426 82.4162616657 79.0759128939 433 233 510 251
vsn 20 40048 1 0.553580907284 108.210554369 195.473783408 542 97 349 128
vse 20 40009 1 1.22902208866 80.8636762056 65.7951365984 429 136 369 163
vsn 04 40009 1 0.7534643007 77.4457216372 102.786185842 558 68 460 99
vse 30 40021 0 1.9257856399 49.0980927842 25.495097568 441 237 418 226
vsn 24 40048 1 1.50725327188 93.6439851925 62.128898268 430 128 378 162
vsn 05 40021 1 3.11517285016 105.961678368 34.0147027034 485 149 471 118
vse 17 40021 0 11.8768664873 23.7537329746 2.0 457 306 457 308
vse 30 40021 0 3.20624930664 16.0312465332 5.0 456 276 456 271
vse 37 40048 1 0.406307273244 96.7088130073 238.018906812 551 162 314 184
vsn 24 40048 1 2.61767037758 116.243429326 44.4072066223 289 163 253 189
vse 16 40009 0 1.25921903832 88.7994980417 70.5195008491 552 200 485 178
vsn 16 40048 1 0.478882864074 108.300606408 226.152603346 525 100 304 148
vsn 35 40009 1 3.44126271434 78.0188219696 22.6715680975 461 166 444 181
vse 15 40009 0 0.983590943288 78.8408117563 80.1560977094 459 106 454 186
vse 25 40009 1 1.185277705 96.1902334198 81.1541742611 200 288 231 213
vse 11 40009 1 1.87501264685 126.29570775 67.3572564762 409 108 345 129
vsn 12 40009 1 0.310634406783 86.0816087623 277.115499386 636 133 364 186
vsn 11 40048 1 0.733595409566 102.883977384 140.24621207 554 139 419 177
vsn 20 40048 1 0.556714274516 105.031787122 188.663722003 545 100 358 125
vse 11 40009 1 1.37041874034 120.409828852 87.863530546 435 126 349 144
vsn 31 40009 1 0.496520299385 84.9180365132 171.026313765 503 199 344 262
vsn 03 40009 1 0.78554600686 83.0898268939 105.773342577 537 114 435 142
vsn 11 40048 1 0.733595409566 102.883977384 140.24621207 554 139 419 177
vsn 12 40009 1 0.800730632077 99.4486814085 124.197423484 476 159 352 166
vsn 20 40048 1 0.556714274516 105.031787122 188.663722003 545 100 358 125
vse 11 40009 1 1.43965419094 107.522026437 74.6860093994 421 97 354 130
vse 11 40009 1 1.46104755487 115.653704196 79.1580697087 451 114 380 149
vse 30 40021 0 6.0424180584 42.7263478386 7.07106781187 457 119 456 112
vsn 21 40009 1 1.06982297316 74.273764915 69.4262198308 432 160 364 174
vse 17 40021 1 2.91811064438 102.133872553 35.0 402 158 423 186
vse 11 40009 1 1.43965419094 107.522026437 74.6860093994 421 97 354 130
vse 15 40009 1 1.48337226119 104.153438723 70.2139587262 404 134 337 155
vse 35 40021 1 1.13495241036 77.4766100048 68.2641926635 501 187 537 245
vsn 20 40048 1 0.623412605057 108.26578965 173.666346769 517 111 345 135
vse 15 40009 0 1.11911228597 81.702861669 73.0068489938 369 174 440 191
vsn 12 40009 0 0.601328689296 56.7069214517 94.302704097 556 268 503 190
vse 20 40009 1 0.648544857716 78.5060804459 121.04957662 464 125 346 152
vsn 34 40048 0 0.516546047461 9.82795881816 19.0262975904 457 332 456 313
vsn 30 40009 1 0.705724986522 65.3891427565 92.6552750792 519 86 427 97
vsn 04 40009 1 0.780419145383 79.4725765313 101.833196945 551 67 454 98
vse 25 40009 1 5.38316335384 103.547214578 19.2353840617 315 253 332 244
vse 11 40009 1 3.22574378197 142.846191405 44.283179651 401 102 406 146
vse 17 40021 0 1.02811194919 124.609543396 121.202310209 477 238 596 261
vsn 11 40048 1 0.75140402843 103.519370673 137.767920794 558 148 422 170
vse 32 40048 1 0.903850533814 88.3464773126 97.7445650663 567 154 472 177
vse 11 40009 1 2.86103412711 141.6717541 49.5176736126 403 106 369 142
vse 23 40048 1 0.377851055047 88.0595644721 233.053641894 659 188 426 183
vsn 28 40021 0 3.25868667644 51.524360392 15.8113883008 440 237 427 228
vse 32 40048 0 0.643062734745 81.618316745 126.921235418 198 175 323 197
vsn 11 40048 1 0.75140402843 103.519370673 137.767920794 558 148 422 170
vsn 12 40009 1 0.336222334653 90.4106796798 268.901468944 570 176 302 154
vse 04 40021 1 3.94655132489 111.625328165 28.2842712475 384 142 380 170
vse 04 40021 1 6.27268437845 119.181003191 19.0 372 159 372 178
vse 03 40021 1 2.27037485362 125.26215875 55.1724568965 376 175 416 137
vsn 28 40021 1 0.761947329984 94.6104203865 124.169239347 395 141 272 124
vse 25 40009 1 0.804513167604 84.9171175201 105.550935571 191 302 237 207
vsn 11 40048 1 0.490940362494 107.02162094 217.993119157 523 149 308 185
vse 25 40009 0 1.02272144431 84.6823237199 82.8009661779 522 148 456 198
vsn 36 40021 1 1.23978426155 84.9320087854 68.5054742338 580 182 523 144
vsn 35 40009 1 2.78120760898 75.6570265443 27.2029410175 457 121 435 105
vsn 21 40009 0 1.09889188864 72.0926681434 65.6048778674 349 276 401 236
vse 35 40021 0 1.15072321979 72.5777108199 63.0713881249 419 222 476 195
vse 36 40048 1 1.04767375582 85.9156359945 82.0060973343 511 166 432 144
vse 12 40021 0 1.03829412354 86.1846668109 83.0060238778 403 189 470 238
vsn 36 40021 0 2.0391639237 70.4323795048 34.5398320783 388 198 401 230
vse 11 40009 1 1.56511359491 112.731645828 72.0277724215 433 112 361 114
vsn 11 40048 1 0.490940362494 107.02162094 217.993119157 523 149 308 185
vsn 28 40021 1 1.35434843655 82.6596475691 61.0327780787 497 165 436 163
vse 31 40021 1 0.194448051621 72.7570980682 374.172420149 636 76 267 138
vse 03 40021 1 1.97393512387 138.639962618 70.2353187506 420 145 453 207
vse 32 40048 1 0.97574011462 83.7148626313 85.7962703152 550 144 470 175
vse 18 40048 1 0.547223342878 138.457238627 253.017785936 512 162 259 159
vse 30 40021 0 1.92713467441 48.3322917472 25.079872408 489 202 491 227
vse 20 40009 1 0.688264361761 79.5801482883 115.62439189 437 164 322 176
vse 04 40021 1 3.48171029798 111.251404655 31.9530906173 391 138 380 168
vse 27 40048 1 0.474766408672 106.051594125 223.376364014 634 125 415 169
vsn 31 40009 1 0.787629786192 86.6965397236 110.072703247 493 144 383 148
vsn 16 40048 1 0.523191977168 101.787399182 194.550764583 578 99 387 136
vse 18 40048 1 0.549037026376 119.331906233 217.34764779 522 143 308 181
vse 32 40048 1 0.715886021757 85.3617161004 119.239255281 577 140 460 163
vsn 24 40048 1 2.06382479474 109.92652358 53.2634959423 284 191 250 232
vsn 36 40021 1 0.630877422405 83.2590902667 131.973482185 558 153 427 137
vse 04 40021 1 6.11068381999 115.296151724 18.8679622641 361 161 351 177
vsn 24 40048 0 1.75728376669 96.7942781473 55.0817574157 458 206 443 259
vsn 34 40048 0 0.516546047461 9.82795881816 19.0262975904 457 332 456 313
vsn 31 40009 1 0.518550586459 90.5550280107 174.631039624 521 190 357 250
vse 04 40021 1 6.11068381999 115.296151724 18.8679622641 361 161 351 177
vse 03 40021 1 1.97393512387 138.639962618 70.2353187506 420 145 453 207
vsn 34 40048 0 0.516546047461 9.82795881816 19.0262975904 457 332 456 313
vse 03 40021 1 4.14708015799 123.719294028 29.8328677804 271 168 300 161
vsn 11 40048 1 0.488692026963 100.354546811 205.353354002 562 101 359 132
vsn 17 40009 0 1.04876669273 70.016468729 66.7607669219 568 217 504 198
vse 17 40021 0 1.04224230426 82.4162616657 79.0759128939 433 233 510 251
vse 36 40048 1 1.60650536995 98.4697372563 61.2943716829 433 142 484 108
vse 13 40021 0 0.52869103804 65.557688717 124.0 457 264 457 140
vse 20 40009 1 1.33935599072 76.8584974436 57.3846669416 448 139 395 161
vsn 14 40021 1 2.67141341628 97.9720611536 36.6742416418 507 192 471 199
vse 12 40021 1 2.61317974901 120.801282494 46.2276973253 342 125 371 161
vse 31 40021 1 1.06158447979 74.4321386476 70.1141925718 425 127 355 123
vsn 19 40021 0 1.0153421429 91.5217039594 90.1387818866 429 183 487 252
vsn 17 40009 1 1.30351361311 94.583364546 72.5603197347 477 186 405 177
vsn 24 40048 1 1.06734127884 97.8350890077 91.6624241442 500 159 409 148
vse 30 40021 1 1.26714208211 101.252502311 79.9061950039 363 139 442 127
vse 17 40021 1 1.828573265 103.955636497 56.8506816142 345 149 389 185
vse 12 40021 1 2.85253046991 123.056194001 43.1393092202 261 156 292 186
vsn 24 40048 1 0.585331594076 101.147264092 172.803356449 567 158 397 189
vsn 19 40021 1 2.55217346599 99.1084901305 38.8329756779 428 157 436 195
vsn 14 40021 1 3.59251898061 96.3973998131 26.83281573 515 166 491 178
vse 35 40021 1 0.622604204944 89.4645630722 143.694119573 503 177 361 199
vsn 32 40021 0 2.78507082261 52.5486111838 18.8679622641 426 223 436 239
vsn 34 40048 0 0.516546047461 9.82795881816 19.0262975904 457 332 456 313
vse 03 40021 1 1.77690036283 127.949165115 72.0069441096 272 212 316 155
vse 05 40048 1 1.63465242208 123.370240859 75.4718490565 388 171 324 211
vsn 12 40009 1 0.298152292709 87.7196271759 294.210808775 598 172 306 136
vsn 11 40048 1 0.824282255637 103.058359273 125.027996865 555 156 431 172
vse 35 40021 1 0.41874438052 116.76362495 278.84224931 546 194 278 271
vsn 19 40021 1 2.79614712354 105.29266892 37.6563407675 413 159 420 196
vsn 23 40021 1 9.87850947075 91.0753572374 9.21954445729 455 142 453 133
vsn 11 40048 1 0.824282255637 103.058359273 125.027996865 555 156 431 172
vsn 12 40009 1 0.310634406783 86.0816087623 277.115499386 636 133 364 186
vsn 27 40021 1 3.22461898712 91.6608936821 28.4253408071 458 157 440 135
vse 13 40021 1 1.77784366799 122.787104674 69.0651865993 395 184 452 223
vse 35 40021 1 1.65712913886 125.121480487 75.5049667241 427 162 501 177
vsn 21 40009 0 0.832719071589 69.3310517284 83.258633186 443 317 477 241
vsn 35 40009 1 5.52485149236 67.2127192863 12.1655250606 504 77 492 75
vse 03 40021 1 4.14708015799 123.719294028 29.8328677804 271 168 300 161
vsn 34 40048 0 4.55406588488 92.1002827264 20.2237484162 448 155 451 175
vse 17 40021 1 2.13148302805 108.684735529 50.9901951359 403 149 441 183
vse 35 40021 0 1.88585045595 46.5770703754 24.6981780705 528 183 537 206
vsn 17 40009 1 1.80350969027 135.395419552 75.0732975165 407 232 357 176
vsn 21 40009 1 1.07310772414 76.2133163321 71.0211236183 436 158 366 170
vsn 35 40009 1 1.18838452904 85.050481448 71.5681493403 458 100 389 81
vsn 23 40021 1 2.60856724576 104.927975947 40.2243707222 487 128 464 161
vse 13 40021 0 11.8768664873 23.7537329746 2.0 457 306 457 308
vse 11 40009 1 1.298411543 115.50025701 88.955044826 470 126 382 139
vsn 34 40048 0 0.516546047461 9.82795881816 19.0262975904 457 332 456 313
vse 03 40021 1 4.14708015799 123.719294028 29.8328677804 271 168 300 161
vse 17 40021 1 2.51608246506 114.364182444 45.4532727095 413 144 442 179
vse 03 40021 1 5.13050597656 136.320932554 26.5706605112 378 143 403 134
vsn 11 40048 1 0.631649878842 103.260749771 163.477827243 549 144 390 182
vse 18 40048 0 1.66722060474 109.377804152 65.6048778674 529 244 489 192
vse 04 40021 1 3.19791081188 105.191337631 32.8937684068 386 134 375 165
vsn 36 40021 1 16.4469903314 131.575922651 8.0 331 126 339 126
vse 03 40021 1 2.41447761363 122.187835719 50.6063237155 397 183 428 143
vsn 11 40048 1 0.631649878842 103.260749771 163.477827243 549 144 390 182
vsn 07 40048 1 2.0841113174 108.733901772 52.172789843 449 131 398 142
vse 32 40048 0 0.640544618125 71.929481525 112.294256309 182 153 291 180
vsn 36 40021 1 0.651964084728 95.3072488081 146.184814533 612 203 475 152
vse 32 40048 1 1.65411267928 97.718727773 59.076221951 291 185 350 182
vsn 36 40021 1 0.656455777506 108.529830718 165.326948801 594 142 432 109
vsn 26 40009 1 0.241645304144 70.1108770966 290.139621562 686 111 396 102
vsn 12 40009 1 0.988817386356 107.344769414 108.55873986 482 202 374 213
vsn 11 40048 1 0.798304222145 110.944183872 138.974817863 551 121 416 154
vse 20 40009 0 0.803889157014 64.2508125861 79.9249648108 396 303 438 235
vse 35 40021 0 0.447512556544 55.1875707159 123.320720076 487 238 505 116
vsn 19 40021 0 1.04224230426 82.4162616657 79.0759128939 433 233 510 251
vse 03 40021 1 1.65275380359 118.180564928 71.5052445629 335 194 388 146
vse 20 40009 0 0.631128803162 61.5536657032 97.5294827219 442 295 468 201
vse 37 40048 1 0.422556075968 98.2404255149 232.490860035 570 126 354 212
vse 20 40009 1 0.633743695085 77.269965073 121.926207191 436 154 315 169
vsn 14 40021 0 1.09293906331 73.1289766043 66.9103878333 523 270 534 204
vse 12 40021 1 3.0300805278 116.411892414 38.4187454246 358 160 388 184
vse 18 40048 1 0.515734622552 136.294522673 264.272586547 510 177 246 165
vse 04 40021 1 3.55836494845 103.437696875 29.0688837075 400 137 398 166
vsn 20 40048 1 0.433242017921 116.639501311 269.224813121 491 163 222 174
vse 33 40009 1 3.91488020815 91.0577909402 23.2594066992 439 192 418 182
vse 32 40048 1 0.698292446622 84.0275353549 120.332871652 573 148 457 180
vsn 20 40048 1 0.536529737575 112.401379385 209.497016685 522 121 314 146
vsn 32 40021 0 0.880094893295 49.1121339796 55.8032257132 401 215 434 260
vsn 36 40021 1 0.72413712724 84.8353764501 117.153745139 577 142 460 136
vse 32 40048 1 0.692497834528 84.7454393131 122.376468326 573 142 453 166
vse 04 40021 1 4.92171659331 113.626651019 23.0867927612 368 138 361 160
vse 23 40048 0 0.707024651439 80.4890973756 113.841995766 382 120 418 228
vse 03 40021 1 2.54373073682 140.297761775 55.1543289326 429 151 450 202
vse 21 40021 1 1.30452731119 119.796526523 91.8313671901 299 177 371 234
vse 24 40009 1 1.06639274456 90.8125936085 85.1586754242 442 115 358 129
vse 24 40009 0 2.56843780024 62.7035577085 24.4131112315 133 194 119 214
