sys userno topicid top5 top10 inum
vsb 14 40009 1.0 0.9 0
vsb 14 40009 0.8 0.9 1
vsb 14 40009 1.0 1.0 1
vsb 14 40009 0.8 0.9 1
vsb 14 40009 0.4 0.5 1
vsb 14 40009 0.6 0.6 1
vsb 14 40009 0.6 0.6 1
vsb 14 40009 0.2 0.6 1
vsb 14 40009 0.8 0.9 1
vsb 14 40009 0.8 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.8 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 0.8 0.6 1
vsb 14 40009 1.0 0.8 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 14 40009 1.0 0.9 1
vsb 15 40021 1.0 1.0 0
vsb 15 40021 0.8 0.8 0
vsb 15 40021 1.0 1.0 1
vsb 15 40021 1.0 1.0 1
vsb 15 40021 1.0 1.0 1
vsb 15 40021 1.0 1.0 1
vsb 15 40021 1.0 1.0 1
vsb 15 40021 1.0 1.0 1
vsb 15 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 0
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 0.0 0.0 1
vsb 16 40021 0.0 0.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 16 40021 1.0 1.0 1
vsb 17 40048 1.0 1.0 0
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 0.0 0.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 0.0 0.1 1
vsb 17 40048 0.0 0.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 0.0 0.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
vsb 17 40048 1.0 1.0 1
