"sys" "userno" "topicid" "qno" "noteno" "noteid" "docno" "p" "sysorder"
"78" "vsb" 4 40048 2 13 8258 "APW20001111.0851.0291" 0.625442 1
"79" "vsb" 4 40048 2 14 8259 "XIN20001114.2000.0107" 0.996933 1
"80" "vsb" 4 40048 3 6 8251 "NYT20001111.1525.0144" 0 1
"81" "vsb" 4 40048 3 12 8257 "ZBN20001112.1300.0037" 0 1
"82" "vsb" 4 40048 4 5 8250 "ZBN20001112.1300.0037" 1 1
"83" "vsb" 4 40048 4 9 8254 "NYT20001112.1903.0110" 0.526316 1
"84" "vsb" 4 40048 4 11 8256 "ZBN20001112.1300.0037" 1 1
"85" "vsb" 4 40048 5 5 8250 "ZBN20001112.1300.0037" 1 1
"86" "vsb" 4 40048 5 9 8254 "NYT20001112.1903.0110" 0.526316 1
"87" "vsb" 4 40048 5 11 8256 "ZBN20001112.1300.0037" 1 1
"88" "vsb" 4 40048 6 3 8248 "NYT20001112.1903.0110" 1 1
"89" "vsb" 4 40048 6 6 8251 "NYT20001111.1525.0144" 0 1
"90" "vsb" 4 40048 7 11 8256 "ZBN20001112.1300.0037" 1 1
"91" "vsb" 4 40048 7 5 8250 "ZBN20001112.1300.0037" 1 1
"92" "vsb" 4 40048 7 9 8254 "NYT20001112.1903.0110" 0.526316 1
"93" "vsb" 4 40048 8 7 8252 "NYT20001111.1525.0144" 1 1
"94" "vsb" 4 40048 8 10 8255 "ZBN20001112.1300.0037" 1 1
"95" "vsn" 5 40021 1 9 8318 "CNN20010115.0900.0296" 1 2
"96" "vsn" 5 40021 1 5 8314 "CNN20010114.1400.0018" 1 2
"97" "vsn" 5 40021 2 9 8318 "CNN20010115.0900.0296" 1 2
"98" "vsn" 5 40021 2 5 8314 "CNN20010114.1400.0018" 1 2
"99" "vsn" 5 40021 3 9 8318 "CNN20010115.0900.0296" 1 2
"100" "vsn" 5 40021 3 5 8314 "CNN20010114.1400.0018" 1 2
"101" "vsn" 5 40021 4 9 8318 "CNN20010115.0900.0296" 1 2
"102" "vsn" 5 40021 4 5 8314 "CNN20010114.1400.0018" 1 2
"103" "vsn" 5 40021 6 6 8315 "CNN20010114.0900.0182" 0.998291 2
"104" "vsn" 5 40021 6 5 8314 "CNN20010114.1400.0018" 1 2
"105" "vsn" 5 40021 8 3 8312 "CTS20010115.2000.0008" 1 2
"106" "vsn" 5 40021 8 9 8318 "CNN20010115.0900.0296" 1 2
"107" "vsn" 5 40021 9 6 8315 "CNN20010114.0900.0182" 0.998291 2
"108" "vsn" 5 40021 9 8 8317 "ZBN20010115.0400.0014" 1 2
"109" "vsn" 5 40021 10 3 8312 "CTS20010115.2000.0008" 1 2
"110" "vsn" 5 40021 11 4 8313 "CTS20010115.2000.0008" 0.994667 2
"111" "vsn" 5 40021 11 2 8311 "APW20010114.0543.0230" 1 2
