sys userno topicid qno noteno noteid docno prec
vsb 04 40048 7 9 8254 NYT20001112.1903.0110 0.5263157894736842
vsb 04 40048 8 7 8252 NYT20001111.1525.0144 1.0
vsb 04 40048 8 10 8255 ZBN20001112.1300.0037 1.0
vsn 05 40021 1 9 8318 CNN20010115.0900.0296 1.0
vsn 05 40021 1 5 8314 CNN20010114.1400.0018 1.0
vsn 05 40021 2 9 8318 CNN20010115.0900.0296 1.0
vsn 05 40021 2 5 8314 CNN20010114.1400.0018 1.0
vsn 05 40021 3 9 8318 CNN20010115.0900.0296 1.0
vsn 05 40021 3 5 8314 CNN20010114.1400.0018 1.0
vsn 05 40021 4 9 8318 CNN20010115.0900.0296 1.0
vsn 05 40021 4 5 8314 CNN20010114.1400.0018 1.0
vsn 05 40021 6 6 8315 CNN20010114.0900.0182 0.9982905982905983
vsn 05 40021 6 5 8314 CNN20010114.1400.0018 1.0
vsn 05 40021 8 3 8312 CTS20010115.2000.0008 1.0
vsn 05 40021 8 9 8318 CNN20010115.0900.0296 1.0
vsn 05 40021 9 6 8315 CNN20010114.0900.0182 0.9982905982905983
vsn 05 40021 9 8 8317 ZBN20010115.0400.0014 1.0
vsn 05 40021 10 3 8312 CTS20010115.2000.0008 1.0
vsn 05 40021 11 4 8313 CTS20010115.2000.0008 0.9946666666666667
vsn 05 40021 11 2 8311 APW20010114.0543.0230 1.0
vsn 05 40021 11 1 8310 APW20010114.0543.0230 1.0
vsn 05 40021 12 1 8310 APW20010114.0543.0230 1.0
vse 05 40048 1 3 8303 APW20001112.1831.0448 1.0
vse 05 40048 1 8 8308 APW20001111.0851.0294 1.0
vse 05 40048 1 5 8305 PRI20001113.2000.1255 1.0
vse 05 40048 2 7 8307 APW20001111.0851.0294 1.0
vse 05 40048 2 5 8305 PRI20001113.2000.1255 1.0
vse 05 40048 3 1 8301 APW20001112.1831.0448 1.0
vse 05 40048 4 2 8302 APW20001112.1831.0448 1.0
vse 05 40048 6 8 8308 APW20001111.0851.0294 1.0
vse 05 40048 6 2 8302 APW20001112.1831.0448 1.0
vse 05 40048 7 2 8302 APW20001112.1831.0448 1.0
vse 05 40048 8 4 8304 PRI20001113.2000.1255 0.6872852233676976
vse 06 40009 1 1 8566 NYT20001202.1028.0024 1.0
