sys userno topicid action docs c1 c2 c3
vse 32 40048 automarquee 22 318 1 100
vse 32 40048 automarquee 27 227 295 100
vse 32 40048 automarquee 2 273 341 100
vse 32 40048 automarquee 34 857 15 100
vse 32 40048 automarquee 24 333 207 100
vse 32 40048 automarquee 12 323 2 100
vse 32 40048 automarquee 1 276 338 100
vse 32 40048 automarquee 13 257 192 100
vse 32 40048 automarquee 15 213 395 100
vse 32 40048 automarquee 17 400 157 100
vse 32 40048 automarquee 27 264 242 100
vse 32 40048 automarquee 33 516 153 100
vse 32 40048 automarquee 2 332 255 100
vse 32 40048 automarquee 26 164 174 100
vse 32 40048 automarquee 24 572 405 100
vse 32 40048 automarquee 24 382 128 100
vse 32 40048 automarquee 23 551 220 100
vse 32 40048 automarquee 25 527 179 98
vse 32 40048 automarquee 39 490 130 98
vse 32 40048 automarquee 13 450 160 98
vse 32 40048 automarquee 18 113 215 98
vse 32 40048 automarquee 3 570 271 98
vse 32 40048 automarquee 9 631 146 98
vse 32 40048 automarquee 25 470 125 98
vse 32 40048 automarquee 6 335 154 98
vse 32 40048 automarquee 12 433 249 98
vse 32 40048 automarquee 38 585 206 98
vse 32 40048 automarquee 23 372 132 98
vse 32 40048 automarquee 34 607 229 98
vsn 32 40021 automarquee 55 283 0 100
vsn 32 40021 automarquee 5 501 156 100
vsn 32 40021 automarquee 1 517 159 100
vsn 32 40021 automarquee 58 422 223 100
vsn 32 40021 automarquee 38 257 167 100
vsn 32 40021 automarquee 61 268 151 100
vsn 32 40021 automarquee 62 487 128 100
vsn 32 40021 automarquee 67 416 219 100
vsn 32 40021 automarquee 36 264 410 100
vsn 32 40021 automarquee 37 641 229 100
vsn 32 40021 automarquee 13 206 201 100
vsn 32 40021 automarquee 1 250 234 100
vsn 32 40021 automarquee 29 191 395 100
vsn 32 40021 automarquee 38 194 139 100
vsn 32 40021 automarquee 27 303 1 100
vsn 32 40021 automarquee 35 176 148 100
vsn 32 40021 automarquee 23 440 0 100
vsn 32 40021 automarquee 52 219 164 100
vsn 32 40021 automarquee 40 222 148 100
vsn 32 40021 automarquee 7 269 145 100
vsn 32 40021 automarquee 1 181 259 100
vsn 32 40021 automarquee 8 140 144 100
vsn 32 40021 automarquee 20 635 402 100
vsn 32 40021 automarquee 4 466 245 100
vsn 32 40021 automarquee 8 376 182 100
vsn 32 40021 automarquee 8 378 189 100
vsn 32 40021 automarquee 1 346 259 100
vsn 32 40021 automarquee 26 178 174 100
vsn 32 40021 automarquee 29 581 395 100
vsn 32 40021 automarquee 33 359 199 100
vsn 32 40021 automarquee 27 475 0 100
vsn 32 40021 automarquee 16 393 190 100
vsn 32 40021 automarquee 25 731 407 100
vsn 32 40021 automarquee 22 294 166 100
vsn 32 40021 automarquee 11 328 148 100
vsn 32 40021 automarquee 20 332 134 100
vsn 32 40021 automarquee 20 332 134 100
vsn 32 40021 automarquee 4 300 177 100
vsn 32 40021 automarquee 4 304 179 100
vsn 32 40021 automarquee 30 463 1 100
vsn 32 40021 automarquee 1 253 281 100
vsn 32 40021 automarquee 30 412 228 100
vsn 32 40021 automarquee 31 415 228 100
vsn 32 40021 automarquee 19 321 4 100
vsn 33 40048 automarquee 27 504 18 100
vsn 33 40048 automarquee 34 447 238 100
vsn 33 40048 automarquee 10 346 21 100
vsn 33 40048 automarquee 11 202 171 100
vsn 33 40048 automarquee 10 101 4 100
vsn 33 40048 automarquee 22 239 228 100
vsn 33 40048 automarquee 27 248 208 100
vsn 33 40048 automarquee 11 406 1 100
vsn 33 40048 automarquee 5 186 240 100
vsn 33 40048 automarquee 23 251 143 100
vsn 33 40048 automarquee 21 254 140 100
vsn 33 40048 automarquee 5 182 237 100
vsn 33 40048 automarquee 4 592 252 100
vsn 33 40048 automarquee 5 559 236 100
vsn 33 40048 automarquee 16 443 180 100
vsn 33 40048 automarquee 14 377 20 100
vsn 33 40048 automarquee 24 406 233 100
vsn 33 40048 automarquee 5 213 179 100
vsn 33 40048 automarquee 5 206 210 100
vsn 33 40048 automarquee 18 332 207 100
vsn 33 40048 automarquee 17 332 208 100
vsn 33 40048 automarquee 17 332 208 100
vsn 33 40048 automarquee 0 757 377 100
vsn 33 40048 automarquee 4 474 122 100
vsn 33 40048 automarquee 18 288 164 100
vsn 33 40048 automarquee 15 274 239 100
vsn 33 40048 automarquee 28 275 0 100
vsn 33 40048 automarquee 35 362 172 100
vsn 33 40048 automarquee 0 74 30 100
vsn 33 40048 automarquee 7 225 151 100
vsn 33 40048 automarquee 28 201 389 100
vse 33 40009 automarquee 29 568 64 100
vse 33 40009 automarquee 33 909 144 100
vse 33 40009 automarquee 50 279 156 100
vse 33 40009 automarquee 17 279 156 100
vse 33 40009 automarquee 17 279 156 100
vse 33 40009 automarquee 17 279 156 100
vse 33 40009 automarquee 23 526 193 100
vse 33 40009 automarquee 13 568 205 100
vse 34 40009 automarquee 81 260 2 100
vse 34 40009 automarquee 0 120 264 100
vse 34 40009 automarquee 6 318 222 100
vse 34 40009 automarquee 1 278 252 100
vse 34 40009 automarquee 15 371 239 100
vse 34 40009 automarquee 8 453 247 100
vse 34 40009 automarquee 6 338 17 100
vse 34 40009 automarquee 6 539 150 100
vsn 34 40048 automarquee 39 234 34 100
vsn 34 40048 automarquee 39 258 0 100
vsn 34 40048 automarquee 39 310 117 100
vsn 34 40048 automarquee 30 211 0 100
vsn 34 40048 automarquee 0 111 132 100
vsn 34 40048 automarquee 37 453 142 100
vsn 34 40048 automarquee 39 22 3 100
vsn 34 40048 automarquee 39 22 3 100
vsn 34 40048 automarquee 39 208 6 100
vsn 34 40048 automarquee 31 453 256 100
vsn 34 40048 automarquee 30 212 374 100
vsn 34 40048 automarquee 26 82 9 100
vsn 34 40048 automarquee 30 419 189 100
vsn 34 40048 automarquee 21 197 303 100
vsn 34 40048 automarquee 22 352 176 100
vsn 34 40048 automarquee 13 213 319 100
vsn 34 40048 automarquee 22 376 146 100
vse 35 40021 automarquee 68 225 7 100
vse 35 40021 automarquee 44 514 166 100
vse 35 40021 automarquee 20 495 156 100
vse 35 40021 automarquee 57 542 106 100
vse 35 40021 automarquee 63 423 238 100
vse 35 40021 automarquee 60 288 50 100
vse 35 40021 automarquee 62 397 230 100
vse 35 40021 automarquee 25 221 1 100
vse 35 40021 automarquee 26 474 211 100
vse 35 40021 automarquee 28 276 6 100
vse 35 40021 automarquee 7 611 286 100
vse 35 40021 automarquee 22 610 286 100
vse 35 40021 automarquee 23 453 171 100
vse 35 40021 automarquee 25 200 252 100
vse 35 40021 automarquee 17 313 203 100
vse 35 40021 automarquee 24 220 18 100
vse 35 40021 automarquee 15 484 150 100
vsn 35 40009 automarquee 44 332 1 100
vsn 35 40009 automarquee 37 479 140 100
vsn 35 40009 automarquee 48 571 112 100
vsn 35 40009 automarquee 14 311 3 100
vsn 35 40009 automarquee 9 306 172 100
vsn 35 40009 automarquee 6 367 241 95
vsn 35 40009 automarquee 5 333 176 95
vsn 35 40009 automarquee 11 216 6 95
vsn 35 40009 automarquee 22 319 254 95
vsn 35 40009 automarquee 10 158 0 95
