sys userno topicid top5 top10 inum
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 11 40048 -1 1.0 1
vsn 03 40009 -1 1.0 0
vsn 03 40009 -1 1.0 0
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 0.7 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 1.0 1
vsn 03 40009 -1 0.6 1
vse 03 40021 -1 1.0 0
vse 03 40021 -1 1.0 0
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 03 40021 -1 1.0 1
vse 20 40009 -1 0.8 0
vse 20 40009 -1 0.9 0
vse 20 40009 -1 0.8 0
vse 20 40009 -1 1.0 0
vse 20 40009 -1 1.0 0
vse 20 40009 -1 1.0 0
vse 20 40009 -1 1.0 0
vse 20 40009 -1 1.0 0
vse 20 40009 -1 0.9 0
vse 20 40009 -1 1.0 0
vse 20 40009 -1 0.8 0
vse 20 40009 -1 0.9 0
vse 20 40009 -1 0.9 0
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
vse 20 40009 -1 0.9 1
