sys userno topicid top5 top10 inum avgx ratiox
vse 10 40048 -1 0.9 0 81.5 0.3
vse 10 40048 -1 1.0 0 81.0 0.2
vse 10 40048 -1 0.9 0 81.5 0.3
vse 10 40048 -1 0.0 0 80.5 0.1
vse 10 40048 -1 1.0 0 80.5 0.1
vse 10 40048 -1 1.0 0 81.5 0.3
vse 10 40048 -1 1.0 0 81.5 0.3
vse 10 40048 -1 0.9 0 170.2 0.192735042735
vse 10 40048 -1 0.9 1 170.2 0.192735042735
vse 10 40048 -1 1.0 1 316.3 0.445009416196
vse 10 40048 -1 1.0 1 316.3 0.445009416196
vse 10 40048 -1 1.0 1 301.9 0.43003875969
vse 10 40048 -1 1.0 1 301.9 0.43003875969
vse 10 40048 -1 1.0 1 313.3 0.450386100386
vse 10 40048 -1 1.0 1 313.3 0.450386100386
vse 10 40048 -1 1.0 1 364.0 0.540952380952
vse 10 40048 -1 1.0 1 364.0 0.540952380952
vse 10 40048 -1 1.0 1 306.8 0.432
vse 10 40048 -1 1.0 1 306.8 0.432
vse 10 40048 -1 1.0 1 427.6 0.618505338078
vse 10 40048 -1 1.0 1 427.6 0.618505338078
vse 10 40048 -1 1.0 1 398.0 0.562831858407
vse 10 40048 -1 1.0 1 284.4 0.401571709234
vse 10 40048 -1 1.0 1 284.4 0.401571709234
vse 10 40048 -1 1.0 1 255.3 0.344400785855
vse 10 40048 -1 1.0 1 342.5 0.469588550984
vse 10 40048 -1 1.0 1 342.5 0.469588550984
vse 10 40048 -1 1.0 1 309.9 0.466328600406
vse 10 40048 -1 1.0 1 309.9 0.466328600406
vse 10 40048 -1 1.0 1 342.0 0.472924187726
vse 11 40009 -1 0.8 0 436.1 0.43041958042
vse 11 40009 -1 0.8 0 189.2 0.181697171381
vse 11 40009 -1 0.8 1 189.2 0.181697171381
vse 11 40009 -1 0.8 1 362.3 0.426435045317
vse 11 40009 -1 0.8 1 362.3 0.426435045317
vse 11 40009 -1 1.0 1 391.2 0.476569678407
vse 11 40009 -1 1.0 1 387.2 0.489171974522
vse 11 40009 -1 1.0 1 387.1 0.48746031746
vse 11 40009 -1 1.0 1 387.1 0.48746031746
vse 11 40009 -1 1.0 1 373.1 0.462302839117
vse 11 40009 -1 1.0 1 373.1 0.462302839117
vse 11 40009 -1 0.9 1 367.5 0.452755905512
vse 11 40009 -1 0.7 1 310.7 0.376960784314
vse 11 40009 -1 0.9 1 338.1 0.422422258592
vse 11 40009 -1 0.8 1 334.3 0.428836424958
vse 11 40009 -1 0.8 1 374.3 0.493791946309
vse 11 40009 -1 0.8 1 374.3 0.493791946309
vse 11 40009 -1 0.8 1 375.1 0.501018675722
vse 11 40009 -1 0.8 1 375.1 0.501018675722
vse 11 40009 -1 0.8 1 378.9 0.50067001675
vse 11 40009 -1 0.8 1 378.9 0.50067001675
vse 11 40009 -1 0.8 1 376.4 0.520913884007
vse 11 40009 -1 0.8 1 376.4 0.520913884007
vse 11 40009 -1 0.8 1 385.0 0.52495697074
vse 11 40009 -1 0.8 1 385.0 0.52495697074
vse 11 40009 -1 0.8 1 416.7 0.56875
vse 11 40009 -1 0.8 1 416.7 0.56875
vse 11 40009 -1 0.9 1 432.9 0.583305785124
vse 11 40009 -1 0.9 1 388.3 0.51469115192
vse 11 40009 -1 0.9 1 388.3 0.51469115192
vse 11 40009 -1 0.9 1 414.4 0.581565217391
vse 11 40009 -1 0.9 1 414.4 0.581565217391
vse 11 40009 -1 0.9 1 387.8 0.57
vse 11 40009 -1 0.9 1 387.8 0.57
vse 11 40009 -1 0.9 1 432.0 0.604810996564
vse 11 40009 -1 0.9 1 432.0 0.604810996564
vse 11 40009 -1 0.8 1 368.2 0.456012658228
vse 11 40009 -1 0.8 1 366.9 0.448982785603
vse 11 40009 -1 0.8 1 366.9 0.448982785603
vse 11 40009 -1 0.8 1 383.6 0.475862068966
vse 11 40009 -1 0.8 1 383.6 0.475862068966
vsn 11 40048 -1 1.0 0 422.1 0.397272727273
vsn 11 40048 -1 1.0 0 416.0 0.344481605351
vsn 11 40048 -1 1.0 0 360.5 0.521375464684
vsn 11 40048 -1 1.0 1 360.5 0.521375464684
vsn 11 40048 -1 1.0 1 437.0 0.594009983361
vsn 11 40048 -1 1.0 1 437.0 0.594009983361
vsn 11 40048 -1 1.0 1 451.1 0.61440397351
vsn 11 40048 -1 1.0 1 451.1 0.61440397351
vsn 11 40048 -1 1.0 1 479.9 0.662086092715
vsn 11 40048 -1 1.0 1 479.9 0.662086092715
vsn 11 40048 -1 1.0 1 515.4 0.701127214171
vsn 11 40048 -1 1.0 1 515.4 0.701127214171
vsn 11 40048 -1 1.0 1 521.6 0.70656
vsn 11 40048 -1 1.0 1 521.6 0.70656
vsn 11 40048 -1 1.0 1 521.4 0.70624
vsn 11 40048 -1 1.0 1 521.4 0.70624
vsn 11 40048 -1 1.0 1 522.1 0.714216478191
vsn 11 40048 -1 1.0 1 522.1 0.714216478191
vsn 11 40048 -1 1.0 1 521.4 0.730794701987
vsn 11 40048 -1 1.0 1 521.4 0.730794701987
vsn 11 40048 -1 1.0 1 514.9 0.714121510673
vsn 11 40048 -1 1.0 1 514.9 0.714121510673
vsn 11 40048 -1 1.0 1 524.1 0.725653594771
vsn 11 40048 -1 1.0 1 528.1 0.727435064935
vsn 11 40048 -1 1.0 1 528.1 0.727435064935
vsn 11 40048 -1 1.0 1 546.2 0.751935483871
vsn 11 40048 -1 1.0 1 546.2 0.751935483871
vsn 11 40048 -1 1.0 1 544.9 0.754707792208
vsn 11 40048 -1 1.0 1 558.9 0.771175523349
vsn 11 40048 -1 1.0 1 558.9 0.771175523349
vsn 03 40009 -1 1.0 0 542.3 0.801748251748
vsn 03 40009 -1 1.0 0 337.5 0.446273830156
vsn 03 40009 -1 1.0 1 337.5 0.446273830156
vsn 03 40009 -1 1.0 1 406.9 0.55406779661
vsn 03 40009 -1 1.0 1 406.9 0.55406779661
vsn 03 40009 -1 1.0 1 416.1 0.55370675453
vsn 03 40009 -1 1.0 1 416.1 0.55370675453
vsn 03 40009 -1 1.0 1 415.4 0.550738916256
vsn 03 40009 -1 1.0 1 415.4 0.550738916256
vsn 03 40009 -1 1.0 1 402.8 0.530049261084
vsn 03 40009 -1 1.0 1 415.4 0.550738916256
vsn 03 40009 -1 1.0 1 469.0 0.630470016207
vsn 03 40009 -1 1.0 1 469.0 0.630470016207
vsn 03 40009 -1 1.0 1 495.2 0.665384615385
vsn 03 40009 -1 1.0 1 495.2 0.665384615385
vsn 03 40009 -1 1.0 1 504.7 0.691693811075
vsn 03 40009 -1 1.0 1 504.7 0.691693811075
vsn 03 40009 -1 0.7 1 452.6 0.603889789303
vsn 03 40009 -1 1.0 1 503.5 0.690864600326
vsn 03 40009 -1 1.0 1 504.7 0.691693811075
vsn 03 40009 -1 1.0 1 522.0 0.696062992126
vsn 03 40009 -1 1.0 1 522.0 0.696062992126
vsn 03 40009 -1 0.6 1 463.9 0.637707641196
vse 03 40021 -1 1.0 0 487.8 0.611188811189
vse 03 40021 -1 1.0 0 137.8 0.136320754717
vse 03 40021 -1 1.0 1 137.8 0.136320754717
vse 03 40021 -1 1.0 1 191.3 0.231875
vse 03 40021 -1 1.0 1 191.3 0.231875
vse 03 40021 -1 1.0 1 251.9 0.279512195122
vse 03 40021 -1 1.0 1 251.9 0.279512195122
vse 03 40021 -1 1.0 1 227.3 0.239512195122
vse 03 40021 -1 1.0 1 218.3 0.22487804878
vse 03 40021 -1 1.0 1 211.4 0.213658536585
vse 03 40021 -1 1.0 1 218.3 0.22487804878
vse 03 40021 -1 1.0 1 218.3 0.22487804878
vse 03 40021 -1 1.0 1 251.9 0.279512195122
vse 03 40021 -1 1.0 1 255.4 0.28474025974
vse 03 40021 -1 1.0 1 255.4 0.28474025974
vse 03 40021 -1 1.0 1 274.4 0.315584415584
vse 03 40021 -1 1.0 1 274.4 0.315584415584
vse 03 40021 -1 1.0 1 309.2 0.36380952381
vse 03 40021 -1 1.0 1 309.2 0.36380952381
vse 03 40021 -1 1.0 1 363.0 0.464696223317
vse 03 40021 -1 1.0 1 363.0 0.464696223317
vse 03 40021 -1 1.0 1 374.9 0.47564516129
vse 03 40021 -1 1.0 1 374.9 0.47564516129
vse 03 40021 -1 1.0 1 384.1 0.488906752412
vse 03 40021 -1 1.0 1 384.1 0.488906752412
vse 03 40021 -1 1.0 1 371.7 0.468971061093
vse 03 40021 -1 1.0 1 371.7 0.468971061093
vse 03 40021 -1 1.0 1 378.8 0.484278768233
vse 03 40021 -1 1.0 1 378.8 0.484278768233
vse 03 40021 -1 1.0 1 371.0 0.483388704319
vse 03 40021 -1 1.0 1 521.3 0.685248447205
vse 03 40021 -1 1.0 1 366.8 0.446034214619
vse 03 40021 -1 1.0 1 371.7 0.452248062016
vse 03 40021 -1 1.0 1 371.7 0.452248062016
vse 03 40021 -1 1.0 1 375.2 0.457674418605
vse 03 40021 -1 1.0 1 375.2 0.457674418605
vse 20 40009 -1 0.8 0 430.8 0.447908745247
vse 20 40009 -1 0.9 0 391.1 0.301384083045
vse 20 40009 -1 0.8 0 399.5 0.29298245614
vse 20 40009 -1 1.0 0 433.5 0.469491525424
vse 20 40009 -1 1.0 0 387.4 0.575655430712
vse 20 40009 -1 1.0 0 387.4 0.575655430712
vse 20 40009 -1 1.0 0 407.9 0.619848771267
vse 20 40009 -1 1.0 0 424.7 0.614438502674
vse 20 40009 -1 0.9 0 416.4 0.599643493761
vse 20 40009 -1 1.0 0 423.0 0.611408199643
vse 20 40009 -1 0.8 0 427.2 0.635856573705
vse 20 40009 -1 0.9 0 416.0 0.622222222222
vse 20 40009 -1 0.9 0 400.1 0.60625
vse 20 40009 -1 0.9 1 400.1 0.60625
vse 20 40009 -1 0.9 1 405.3 0.603042596349
vse 20 40009 -1 0.9 1 405.3 0.603042596349
vse 20 40009 -1 0.9 1 400.1 0.60625
vse 20 40009 -1 0.9 1 424.3 0.60785440613
vse 20 40009 -1 0.9 1 424.3 0.60785440613
vse 20 40009 -1 0.9 1 433.6 0.659701492537
vse 20 40009 -1 0.9 1 433.6 0.659701492537
vse 20 40009 -1 0.9 1 442.0 0.630885122411
vse 20 40009 -1 0.9 1 442.0 0.630885122411
vse 20 40009 -1 0.9 1 433.6 0.659701492537
vsn 20 40048 -1 1.0 0 449.3 0.478525641026
vsn 20 40048 -1 1.0 0 420.0 0.390909090909
vsn 20 40048 -1 1.0 0 456.5 0.61319218241
vsn 20 40048 -1 1.0 1 456.5 0.61319218241
vsn 20 40048 -1 1.0 1 473.0 0.62480127186
vsn 20 40048 -1 1.0 1 473.0 0.62480127186
vsn 20 40048 -1 1.0 1 497.6 0.672463768116
vsn 20 40048 -1 1.0 1 497.6 0.672463768116
vsn 20 40048 -1 1.0 1 507.9 0.685737179487
vsn 20 40048 -1 1.0 1 507.9 0.685737179487
