sys userno topicid top5 top10 ndcg inum
vsb 09 40009 1.0 0.7 0.832311308984 0
vsb 09 40009 1.0 0.9 0.982674184646 1
vsb 09 40009 1.0 0.9 0.858892699834 1
vsb 09 40009 1.0 0.9 0.959832153094 1
vsb 09 40009 1.0 0.9 0.858892699834 1
vsb 09 40009 1.0 0.9 0.858892699834 1
vsb 09 40009 0.2 0.1 0.630929753571 1
vsb 09 40009 0.2 0.1 0.630929753571 1
vsb 09 40009 1.0 0.8 0.984608034498 1
vsb 06 40021 1.0 1.0 1.0 0
vsb 06 40021 0.0 0.0 0.0 0
vsb 06 40021 1.0 1.0 1.0 0
vsb 06 40021 1.0 1.0 1.0 1
vsb 06 40021 1.0 1.0 1.0 1
vsb 06 40021 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 0
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 0.0 0.0 0.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 13 40048 1.0 1.0 1.0 1
vsb 14 40009 1.0 1.0 1.0 0
vsb 14 40009 1.0 0.9 0.982674184646 0
vsb 14 40009 1.0 0.9 1.0 0
vsb 14 40009 1.0 0.9 0.993478637514 0
vsb 14 40009 1.0 0.6 0.957266581695 0
vsb 14 40009 1.0 0.9 0.993478637514 0
vsb 14 40009 1.0 0.9 0.973827093747 1
vsb 14 40009 1.0 1.0 1.0 1
vsb 14 40009 1.0 0.9 0.973827093747 1
vsb 14 40009 1.0 0.5 0.698898533806 1
vsb 14 40009 1.0 0.6 0.793797615447 1
vsb 14 40009 1.0 0.6 0.793797615447 1
vsb 14 40009 1.0 0.6 0.555378220744 1
vsb 14 40009 1.0 0.9 0.959832153094 1
vsb 14 40009 1.0 0.9 0.973827093747 1
vsb 14 40009 1.0 0.9 0.993478637514 1
vsb 14 40009 1.0 0.8 0.97271126957 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 0.993478637514 1
vsb 14 40009 1.0 0.6 0.804896565574 1
vsb 14 40009 1.0 0.8 1.0 1
vsb 14 40009 1.0 0.9 0.997085901983 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 0.997085901983 1
vsb 14 40009 1.0 0.9 1.0 1
vsb 14 40009 1.0 0.9 0.982674184646 1
vsb 15 40021 1.0 1.0 1.0 0
vsb 15 40021 1.0 0.8 0.963262422169 0
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 15 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 0
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 0.0 0.0 0.0 1
vsb 16 40021 0.0 0.0 0.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 16 40021 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 0
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 0.0 0.0 0.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 0.2 0.1 0.386852807235 1
vsb 17 40048 0.0 0.0 0.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 0.0 0.0 0.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 17 40048 1.0 1.0 1.0 1
vsb 18 40009 1.0 1.0 1.0 0
vsb 18 40009 1.0 1.0 1.0 0
vsb 19 40009 1.0 0.9 0.988860888926 0
vsb 19 40009 1.0 0.8 0.996147378625 0
vsb 19 40009 1.0 0.9 0.997085901983 0
vsb 19 40009 1.0 0.9 1.0 1
vsb 19 40009 0.2 0.1 1.0 1
vsb 19 40009 0.0 0.0 0.0 1
vsb 19 40009 0.2 0.1 1.0 1
vsb 19 40009 0.2 0.1 1.0 1
vsb 19 40009 1.0 0.9 1.0 1
vsb 19 40009 1.0 1.0 1.0 1
vsb 19 40009 1.0 0.9 0.988860888926 1
vsb 21 40048 1.0 1.0 1.0 0
vsb 21 40048 1.0 1.0 1.0 0
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 0.2 0.1 1.0 1
vsb 21 40048 0.2 0.1 1.0 1
vsb 21 40048 0.2 0.1 1.0 1
vsb 21 40048 1.0 0.9 0.993478637514 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 21 40048 1.0 0.8 0.849294942067 1
vsb 21 40048 1.0 0.8 0.993035071112 1
vsb 21 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 0.7 0.609469949982 0
vsb 12 40048 1.0 1.0 1.0 0
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 12 40048 1.0 1.0 1.0 1
vsb 23 40009 1.0 0.9 1.0 0
vsb 23 40009 1.0 0.9 0.973827093747 0
vsb 23 40009 1.0 1.0 1.0 0
vsb 23 40009 1.0 1.0 1.0 1
vsb 24 40021 1.0 1.0 1.0 0
vsb 24 40021 1.0 1.0 1.0 0
vsb 24 40021 1.0 1.0 1.0 0
vsb 24 40021 1.0 1.0 1.0 1
vsb 24 40021 1.0 1.0 1.0 1
vsb 24 40021 1.0 1.0 1.0 1
vsb 24 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 0
vsb 25 40021 1.0 1.0 1.0 0
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 25 40021 1.0 1.0 1.0 1
vsb 26 40048 0.0 0.0 0.0 0
vsb 26 40048 0.0 0.0 0.0 0
vsb 26 40048 1.0 0.9 0.997085901983 0
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 26 40048 1.0 1.0 1.0 1
vsb 27 40009 1.0 0.8 0.981495726985 0
vsb 27 40009 1.0 0.9 0.858892699834 1
vsb 27 40009 1.0 0.8 0.913478283837 1
vsb 27 40009 1.0 0.8 0.833902976565 1
vsb 27 40009 1.0 0.8 0.833902976565 1
vsb 27 40009 1.0 0.8 0.840510484652 1
vsb 27 40009 1.0 0.7 0.934517956116 1
vsb 27 40009 1.0 0.8 0.904029436436 1
vsb 27 40009 0.2 0.1 0.333333333333 1
vsb 22 40048 1.0 0.9 0.993478637514 0
vsb 22 40048 1.0 1.0 1.0 0
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 0.9 0.993478637514 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 0.8 0.97271126957 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 22 40048 1.0 1.0 1.0 1
vsb 28 40009 1.0 0.9 0.973827093747 0
vsb 28 40009 1.0 0.9 0.973827093747 0
vsb 28 40009 1.0 1.0 1.0 0
vsb 29 40021 1.0 1.0 1.0 0
vsb 29 40021 1.0 1.0 1.0 0
vsb 29 40021 1.0 0.5 0.576194179868 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 29 40021 1.0 1.0 1.0 1
vsb 30 40048 1.0 1.0 1.0 0
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 0.0 0.0 0.0 1
vsb 30 40048 0.0 0.0 0.0 1
vsb 30 40048 1.0 0.9 1.0 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 1.0 0.9 0.959832153094 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 30 40048 1.0 1.0 1.0 1
vsb 32 40009 1.0 0.8 0.968194258209 0
vsb 32 40009 1.0 0.9 0.997085901983 0
vsb 32 40009 1.0 0.8 0.968194258209 1
vsb 32 40009 1.0 0.8 0.833902976565 1
vsb 32 40009 1.0 0.9 0.997085901983 1
vsb 32 40009 0.0 0.0 0.0 1
vsb 32 40009 1.0 0.9 0.997085901983 1
vsb 32 40009 1.0 1.0 1.0 1
vsb 32 40009 1.0 1.0 1.0 1
vsb 32 40009 1.0 0.8 0.92887024934 1
vsb 32 40009 1.0 0.8 0.92887024934 1
vsb 32 40009 0.0 0.0 0.0 1
vsb 32 40009 1.0 0.8 0.993035071112 1
vsb 32 40009 1.0 0.8 0.960212346364 1
vsb 32 40009 0.2 0.1 0.630929753571 1
vsb 33 40021 1.0 1.0 1.0 0
vsb 33 40021 1.0 1.0 1.0 0
vsb 33 40021 1.0 1.0 1.0 1
vsb 33 40021 1.0 0.8 0.984608034498 1
vsb 33 40021 1.0 0.8 0.984608034498 1
vsb 33 40021 1.0 1.0 1.0 1
vsb 33 40021 1.0 1.0 1.0 1
vsb 33 40021 1.0 1.0 1.0 1
vsb 33 40021 1.0 1.0 1.0 1
vsb 33 40021 1.0 1.0 1.0 1
vsb 33 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 0
vsb 34 40021 1.0 1.0 1.0 0
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 34 40021 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 0
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 0.8 0.849294942067 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 35 40048 1.0 1.0 1.0 1
vsb 36 40009 1.0 0.8 1.0 0
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 36 40009 1.0 1.0 1.0 1
vsb 37 40009 1.0 0.8 0.981495726985 0
vsb 37 40009 1.0 0.9 0.858892699834 1
vsb 37 40009 1.0 0.7 0.923362292346 1
vsb 37 40009 1.0 0.7 0.921699961056 1
vsb 37 40009 1.0 0.7 0.953778065431 1
vsb 37 40009 1.0 0.8 0.960212346364 1
vsb 37 40009 1.0 0.6 0.711188794633 1
vsb 31 40048 1.0 1.0 1.0 0
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 0.9 0.933400197612 1
vsb 31 40048 1.0 0.9 0.959832153094 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 0.2 0.1 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 0.2 0.1 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 0.0 0.0 0.0 1
vsb 31 40048 0.0 0.0 0.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
vsb 31 40048 1.0 1.0 1.0 1
